store_operator_key,store_num,first_nm,last_nm,full_nm,actv,eff_start_date,eff_end_date,is_referred,is_current,checksum,operator_id,created_date,updated_date,created_by,updated_by
6660000000,2918,financial,suffer,catch,False,1970-06-23 17:41:22.411296,2007-12-06 10:03:47.292503,True,False,figure,but,1985-10-21 18:25:48.344476,2015-08-29 08:41:22.121811,should,approach
8070000000,6847,realize,possible,policy,True,1986-05-17 16:22:25.063815,2023-03-20 06:37:50.451800,True,False,last,station,2005-11-02 16:11:43.260246,1998-12-15 03:43:05.204046,anything,manage
9941000000,9354,policy,adult,often,True,1979-06-28 08:26:50.791664,1980-02-14 17:09:28.752052,True,True,on,loss,1998-04-08 09:36:30.425857,2018-11-06 00:07:34.357257,effect,reflect
9858000000,3020,idea,stay,determine,False,1972-01-11 08:09:32.826967,1986-04-09 14:45:43.578268,False,False,create,information,1984-02-24 22:27:38.290936,1982-05-21 09:46:19.223534,pressure,page
2198000000,4777,audience,final,still,True,1998-08-13 11:12:11.799622,1974-05-05 01:26:48.146053,False,True,south,face,1998-01-09 00:22:17.929990,2003-05-13 18:32:37.517628,what,girl
8130000000,8448,stock,white,name,False,1973-07-20 22:13:39.017727,1989-09-30 09:09:50.446886,False,False,personal,notice,1992-06-06 19:22:43.993034,1979-07-06 22:57:34.506757,cut,discover
5893000000,7089,local,good,education,True,1982-08-23 03:58:09.356676,2020-08-30 17:19:11.144625,True,True,paper,need,2019-01-19 03:40:10.717998,2014-08-28 11:49:42.626483,Mrs,third
5791000000,690,area,easy,economic,False,1989-03-13 14:11:59.693042,2018-09-04 14:27:30.029871,False,False,agreement,section,2003-01-28 05:48:07.093228,2011-09-21 07:33:13.634730,newspaper,whole
8146000000,7261,true,career,consumer,True,1990-01-28 07:42:28.452604,2025-01-02 05:28:38.188932,True,False,measure,mission,1994-07-31 00:57:39.063013,2003-09-02 07:34:51.709951,health,its
7658000000,1734,rule,Mr,use,True,2016-02-12 04:21:56.805779,1984-03-20 05:53:42.147827,False,False,return,station,1975-12-23 22:32:15.498872,2022-10-30 11:30:31.144214,certain,central
