txn_key,txn_id,store_key,line_num,tender_cd,tender_sub_cd,business_date,business_date_key,txn_datetime,data_src_key,txn_total_gross_amt,txn_total_net_amt,paid_amt,account_id,account_name,approval_reference_cd,authorization_date,authorization_date_key,authorization_response_cd,authorization_time,authorizing_terminal_id,provider_id,reference_num,requested_amt,authorized_charge_amt_nil,host_authorized_flag_val,pre_authorization_flag_val,batch_num,batch_sequence_num,card_ctgry,card_desc,card_type,event_type,exp_date_month,exp_date_year,host_reference_num,host_response_cd,short_desc,shorter_desc,debit_flag_val,esignature_content_type,esignature_val,cryptogram,cryptogram_type,fall_back_mode,terminal_verification_results,cashier_bypassed_flag_val,entry_method,vendor_nm,created_date,updated_date,created_by,updated_by
79913464969408764903861434051738127457,8202000000,2453000000,580,leave,American,20240211,4376,2010-02-14 23:38:21.295567,841000000,344537565500879456384.6999,160254838698356214895.8786,186254621623407001557.0194,soon,trial,reality,,1488,attack,1979-01-15 11:42:43.148067,mission,lead,1733000000,248527094925212086379.1305,possible,keep,woman,5848,5512,my,effect,half,worker,8077,3192,2638,fine,project,field,among,item,rather,country,audience,by,area,race,rich,return,2022-06-07 20:39:51.149096,1997-01-30 20:38:12.227824,site,exactly
57069090652695950680135854938486330419,4583000000,1340000000,4325,agency,color,20210821,6860,2008-05-21 00:39:40.990764,8840000000,698706336912870447119.2338,290661634077390901904.8628,296946708193859398857.9598,fly,beat,it,,2257,choice,2002-07-01 21:11:52.546565,physical,decision,2236000000,849263564560921070079.4899,personal,energy,seat,1586,845,month,you,better,mouth,9586,3361,2821,heart,peace,stand,last,kitchen,work,enjoy,goal,individual,finally,sell,wish,control,2010-02-12 15:48:01.535691,2005-09-12 09:34:56.238108,fall,under
93540503497568568055681853178126777137,6194000000,8599000000,8948,fire,receive,20235965,4376,2014-11-27 20:31:08.814768,964000000,241463708444809897560.9470,633387773694572862482.8688,670014571499511310481.0710,stock,surface,green,,4190,direction,2005-06-17 11:29:24.808509,music,give,4477000000,216635662712627683513.9616,doctor,control,else,4088,1663,vote,walk,deep,dark,6499,9287,9798,produce,large,there,free,cover,require,deep,no,site,line,low,modern,win,2004-01-12 20:59:07.939978,1994-09-26 02:57:10.208794,catch,fine
43002426206280510280069478631362205302,9611000000,8599000000,4814,weight,school,20250960,2272,2012-06-21 10:08:53.399280,199000000,826241988532154914372.5875,887022706541203978888.6886,172997282027438803503.1490,on,require,worker,,8406,accept,2001-05-20 18:19:28.342490,help,feeling,1653000000,820331966665150564579.0788,grow,population,voice,1683,3781,they,difficult,any,institution,320,3735,9449,region,me,present,my,thing,away,relate,candidate,bill,civil,nearly,sell,cold,2016-12-15 18:06:30.062769,1985-05-11 15:03:13.829472,same,ability
71773579611507240521726381011977853514,1421000000,1270000000,4187,management,be,20250291,9575,2020-07-11 04:49:30.581884,1318000000,287424966796560640967.5603,187862274496282096833.5962,467772284281375625424.7295,live,public,city,,9345,might,1982-03-07 20:04:07.680112,they,home,4312000000,675380409429082774884.2347,impact,act,begin,5920,5328,author,bring,cause,market,1434,2715,5061,national,determine,reason,catch,including,push,out,say,budget,ahead,risk,lot,hand,1986-10-21 18:19:18.928111,2011-10-01 08:33:58.445513,out,film
14698255437350062816554380043091809314,8973000000,3392000000,7354,rise,strong,20235305,7360,1993-11-17 07:28:12.853825,1318000000,417148359006780839154.7767,399875119052074948634.4689,630810072443152393141.3048,town,management,life,,2477,fast,2006-02-20 11:24:52.630685,center,actually,9998000000,147528544573693435559.7396,shake,more,close,3401,1893,single,best,clearly,common,6029,717,7519,series,fire,world,boy,interesting,well,up,want,dream,fight,deal,see,about,1983-08-07 15:56:48.225147,2014-03-27 02:42:17.817737,long,smile
79805924593252824919628273099925786028,9459000000,9248000000,7972,agreement,yes,20207540,3730,2020-04-23 05:34:50.084110,1318000000,618221713260545240558.1559,851739870420789872777.3856,236894327514711823639.8991,per,list,near,,1670,skin,1990-11-19 05:14:27.100844,position,sing,2109000000,867558789960792237918.0252,build,light,unit,6631,3223,half,message,prepare,player,5780,6455,3354,economic,behavior,statement,physical,door,note,civil,happy,east,defense,church,write,member,1981-06-01 21:14:21.316384,1983-10-06 04:47:22.528949,point,address
18999754078638935434434536700921807909,6185000000,9248000000,2730,weight,report,20249869,9575,2000-03-15 23:56:05.353932,7830000000,168082839249824006010.5006,650142346580676668445.9952,641859399562551264448.4276,someone,member,mouth,,1292,popular,2012-04-03 14:31:20.267323,debate,similar,18000000,502250187358476854504.9719,identify,perhaps,they,1731,902,different,and,explain,left,1672,4723,7632,late,travel,into,weight,road,girl,voice,sort,agency,six,man,manage,unit,2010-12-13 20:32:50.824163,1995-09-23 18:28:16.475825,stop,significant
11302403054803077123151485918058664640,4207000000,1340000000,3573,four,require,20231154,4878,2019-03-29 09:13:56.169742,7970000000,628359101246490887360.6741,150822603522750839968.8756,809569912834627356022.7751,rate,court,life,,985,eight,1970-05-18 00:15:58.512381,provide,Republican,8680000000,553393168429788191062.9886,culture,carry,physical,8358,7338,staff,try,three,win,171,792,3775,hand,future,draw,line,beyond,build,watch,arm,better,compare,writer,order,raise,2003-10-08 17:53:29.253406,2015-03-20 03:00:35.842153,support,guess
83199903096994281571744723788625059792,9214000000,8599000000,4705,occur,wear,20222465,4376,1999-01-05 13:49:12.030222,964000000,989612416101052540569.9263,776860455969669909488.5118,515815310015131381677.9467,analysis,or,together,,1997,reach,1987-05-16 01:14:05.746719,case,we,696000000,127072899503596865528.1839,modern,difference,us,2549,8258,minute,probably,question,receive,1178,4164,6714,after,hear,new,series,dog,nearly,out,ever,team,throw,take,research,save,2001-09-08 10:21:16.671120,1997-05-22 07:17:57.812191,this,happen
